wavelength	throughput
533.00	9.5000001465451E-7
533.50	9.5000001465451E-7
534.00	9.5000001465451E-7
534.50	9.5000001465451E-7
535.00	9.5000001465451E-7
535.50	9.5000001465451E-7
536.00	9.5000001465451E-7
536.50	9.5000001465451E-7
537.00	9.5000001465451E-7
537.50	9.5000001465451E-7
538.00	9.5000001465451E-7
538.50	9.5000001465451E-7
539.00	9.5000001465451E-7
539.50	9.5000001465451E-7
540.00	9.5000001465451E-7
540.50	9.5000001465451E-7
541.00	9.5000001465451E-7
541.50	9.5000001465451E-7
542.00	9.5000001465451E-7
542.50	9.5000001465451E-7
543.00	9.5000001465451E-7
543.50	9.5000001465451E-7
544.00	9.5000001465451E-7
544.50	9.5000001465451E-7
545.00	9.5000001465451E-7
545.50	9.5000001465451E-7
546.00	9.5000001465451E-7
546.50	9.5000001465451E-7
547.00	9.5000001465451E-7
547.50	9.5000001465451E-7
548.00	9.5000001465451E-7
548.50	9.5000001465451E-7
549.00	9.5000001465451E-7
549.50	9.5000001465451E-7
550.00	9.5000001465451E-7
550.50	9.5000001465451E-7
551.00	9.5000001465451E-7
551.50	9.5000001465451E-7
552.00	9.5000001465451E-7
552.50	9.5000001465451E-7
553.00	9.5000001465451E-7
553.50	9.5000001465451E-7
554.00	9.5000001465451E-7
554.50	9.5000001465451E-7
555.00	9.5000001465451E-7
555.50	9.5000001465451E-7
556.00	9.5000001465451E-7
556.50	9.5000001465451E-7
557.00	9.5000001465451E-7
557.50	9.5000001465451E-7
558.00	9.5000001465451E-7
558.50	9.5000001465451E-7
559.00	9.5000001465451E-7
559.50	9.5000001465451E-7
560.00	9.5000001465451E-7
560.50	9.5000001465451E-7
561.00	9.5000001465451E-7
561.50	9.5000001465451E-7
562.00	9.5000001465451E-7
562.50	9.5000001465451E-7
563.00	9.5000001465451E-7
563.50	9.5000001465451E-7
564.00	9.5000001465451E-7
564.50	9.5000001465451E-7
565.00	9.5000001465451E-7
565.50	9.5000001465451E-7
566.00	9.5000001465451E-7
566.50	9.5000001465451E-7
567.00	9.5000001465451E-7
567.50	9.5000001465451E-7
568.00	9.5000001465451E-7
568.50	1.149230001829E-6
569.00	9.5000001465451E-7
569.50	9.5000001465451E-7
570.00	9.5000001465451E-7
570.50	9.5000001465451E-7
571.00	9.5000001465451E-7
571.50	9.5000001465451E-7
572.00	9.5000001465451E-7
572.50	9.5000001465451E-7
573.00	9.5000001465451E-7
573.50	9.5000001465451E-7
574.00	9.5000001465451E-7
